hanza,mean_sound
倣,본뜰 방
紡,길쌈 방
傍,곁 방
配,나눌 배
倍,곱 배
拝,절 배
背,등 배
俳,배우 배
杯,잔 배
排,배척할 배
陪,모실 배
培,배양할 배
輩,무리 배
賠,물어줄 배
白,흰 백
百,일백 백
伯,맏 백
番,차례 번
繁,번성할 번
煩,번거로울 번
藩,울타리 번
翻,번역할 번
伐,칠 벌
罰,벌할 벌
閥,문벌 벌
犯,범할 범
凡,무릇 범
氾,넘칠 범
汎,넓을 범
帆,돛 범
範,법 범
法,법 법
壁,벽 벽
癖,버릇 벽
璧,구슬 벽
辺,가 변
変,변할 변
弁,말씀 변
別,나눌 별
病,병 병
兵,병사 병
並,나란히 병
丙,남녘 병
併,아우를 병
柄,자루 병
瓶,병 병
塀,담 병
餅,떡 병
歩,걸음 보
保,지킬 보
報,갚을 보
宝,보배 보
補,기울 보
普,넓을 보
譜,족보 보
服,옷 복
福,복 복
復,회복할 복/ 다시 부
複,겹칠 복
腹,배 복
伏,엎드릴 복
僕,종 복
覆,뒤집힐 복/ 덮을 부
本,근본 본
棒,막대 봉
奉,받들 봉
封,봉할 봉
俸,녹 봉
峰,봉우리 봉
蜂,벌 봉
縫,꿰맬 봉
父,아비 부
負,질 부
部,떼 부
夫,지아비 부
付,줄 부
府,마을 부
副,버금 부
婦,며느리 부
富,부유할 부
否,아닐 부
扶,도울 부
阜,언덕 부
附,붙을 부
赴,갈 부
訃,부고 부
浮,뜰 부
剖,쪼갤 부
釜,가마솥 부
符,부호 부
腐,썩을 부
敷,펼 부
賦,부세 부
膚,살갗 부
簿,문서 부
北,북녘 북/ 달아날 배
分,나눌 분
粉,가루 분
奮,떨칠 분
奔,달릴 분
盆,동이 분
紛,어지러울 분
雰,눈날릴 분
噴,뿜을 분
憤,분할 분
墳,무덤 분
不,아니 불/ 아니 부
仏,부처 불
払,떨칠 불
崩,무너질 붕
棚,사다리 붕
悲,슬플 비
鼻,코 비
飛,날 비
費,쓸 비
比,견줄 비
非,아닐 비
肥,살찔 비
備,갖출 비
批,비평할 비
秘,숨길 비
妃,왕비 비
沸,끓을 비
泌,분비할 비/ 스며흐를 필
卑,낮을 비
扉,사립문 비
碑,비석 비
貧,가난할 빈
浜,물가 빈
賓,손 빈
頻,자주 빈
氷,얼음 빙
四,넉 사
糸,실 사
寺,절 사
社,모일 사
思,생각 사
写,베낄 사
仕,섬길 사
死,죽을 사
事,일 사
使,하여금 사
士,선비 사
史,사기 사
司,맡을 사
辞,말씀 사
似,닮을 사
舎,집 사
査,조사할 사
師,스승 사
飼,기를 사
謝,사례할 사
私,사사로울 사
砂,모래 사
射,쏠 사
捨,버릴 사
詞,말 사
沙,모래 사
伺,엿볼 사
邪,간사할 사
卸,풀 사
唆,부추길 사
斜,비스듬할 사
蛇,뱀 사
赦,용서할 사
詐,속일 사
嗣,이을 사
賜,줄 사
削,깎을 삭
山,뫼 산
算,셈 산
産,낳을 산
散,흩을 산
酸,실 산
傘,우산 산
殺,죽일 살/ 덜 쇄
三,석 삼
森,수풀 삼
杉,삼나무 삼
挿,꽂을 삽
渋,떫을 삽
上,윗 상
商,장사 상
相,서로 상
